merchant_name,categoria
DISNEY PLUS *TRIP 52,Entretenimento
HOTEL TRANSMERICA LTDA,Viagem
APPLE BRASIL PAG,Alimentacao
GLOBO PLAY RECEB,Entretenimento
MERCADO PAGO 135,Fintech
CINEMARK PAG 471,Lazer
HOTEL TIVOLI COM,Viagem
SUBWAY PAG 116,Alimentacao
CINESYSTEM LTDA,Lazer
LOGGI COM 747,Transporte
NETSHOES *TRIP 909,Varejo
AWS BRASIL *TRIP,Servicos
HOTEL TIVOLI LTDA 288,Viagem
99 TAXI SA 331,Transporte
SPOTIFY LTDA 415,Entretenimento
DISNEY PLUS COM,Entretenimento
GITHUB COM,Servicos
FARMACIA SAO PAULO PAG,Saude
MICROSOFT PAG,Servicos
AIRBNB LTDA 214,Viagem
CINEMARK *TRIP,Lazer
CARREFOUR SA 888,Supermercado
FARMACIA SAO PAULO PAG 71,Saude
POSTO IPIRANGA SA 217,Combustivel
CARREFOUR RECEB,Supermercado
DROGASIL PAG,Saude
HOTEL TIVOLI LTDA,Viagem
BURGER KING 418,Alimentacao
BURGER KING SA 456,Alimentacao
GLOBO PLAY PAG,Entretenimento
APPLE BRASIL RECEB 542,Varejo
HOTEL TIVOLI 126,Viagem
AMAZON PRIME SA,Entretenimento
FARMACIA SAO PAULO LTDA,Saude
MICROSOFT COM,Servicos
CARREFOUR COM 124,Supermercado
MAGAZINE LUIZA SA,Varejo
RIACHUELO COM,Varejo
IFOOD COM BR PAG 7,Alimentacao
DISNEY PLUS LTDA 69,Entretenimento
MERCADO PAGO *TRIP,Fintech
DROGARIA RAIA COM 771,Saude
BURGER KING PAG,Alimentacao
CINEMARK COM,Lazer
PADARIA DO SEU ZE,Alimentacao
GITHUB,Servicos
GITHUB PAG,Servicos
BURGER KING COM 285,Alimentacao
MCDONALDS PAG,Alimentacao
RIACHUELO RECEB 566,Transporte
UBER DO BRASIL PAG,Transporte
DROGARIA RAIA RECEB,Saude
DROGASIL,Saude
BURGER KING PAG,Alimentacao
HOTEL TIVOLI LTDA,Viagem
MERCADO PAGO 242,Fintech
HBO MAX SA,Entretenimento
AMAZON BRASIL SA,Varejo
UBER DO BRASIL COM 196,Transporte
HOTEL TIVOLI COM,Viagem
CARREFOUR,Supermercado
AIRBNB,Viagem
SPOTIFY *TRIP,Entretenimento
AMERICANAS SA,Varejo
MAGAZINE LUIZA SA,Varejo
UBER DO BRASIL SA 981,Transporte
DISNEY PLUS COM,Entretenimento
APPLE BRASIL PAG,Varejo
GLOBO PLAY 13,Entretenimento
HBO MAX SA 722,Entretenimento
DROGASIL LTDA,Alimentacao
CABIFY COM,Transporte
PLAYARTE LTDA,Lazer
PLAYARTE RECEB,Lazer
CARREFOUR COM,Supermercado
AMAZON PRIME COM,Entretenimento
UBER DO BRASIL *TRIP,Transporte
HBO MAX 268,Entretenimento
AMAZON BRASIL LTDA 26,Varejo
FARMACIA SAO PAULO SA,Saude
DROGARIA RAIA COM,Saude
SAMSUNG BRASIL LTDA,Varejo
PAGBANCO COM 993,Fintech
GITHUB COM,Servicos
CARREFOUR RECEB,Supermercado
SAMSUNG BRASIL,Varejo
DISNEY PLUS PAG,Entretenimento
HOTEL TRANSMERICA *TRIP,Viagem
BURGER KING,Alimentacao
CABIFY COM,Transporte
GITHUB LTDA,Servicos
CABIFY *TRIP,Transporte
MAGAZINE LUIZA,Varejo
GITHUB RECEB,Servicos
FARMACIA SAO PAULO RECEB 560,Saude
CABIFY SA,Transporte
IFOOD COM BR SA 863,Alimentacao
MCDONALDS PAG 893,Alimentacao
AWS BRASIL *TRIP 152,Saude
HOTEL TIVOLI,Viagem
SPOTIFY 325,Entretenimento
APPLE BRASIL COM,Varejo
SPOTIFY *TRIP 5,Entretenimento
CARREFOUR PAG 728,Supermercado
CINESYSTEM *TRIP,Lazer
POSTO IPIRANGA LTDA,Combustivel
MAGAZINE LUIZA SA,Varejo
NETFLIX RECEB,Alimentacao
CARREFOUR,Supermercado
MCDONALDS SA 629,Alimentacao
PLAYARTE *TRIP,Lazer
FARMACIA SAO PAULO LTDA,Saude
SAMSUNG BRASIL COM,Varejo
MCDONALDS *TRIP,Alimentacao
FARMACIA SAO PAULO RECEB,Saude
DISNEY PLUS PAG,Entretenimento
RIACHUELO RECEB,Varejo
SUBWAY 642,Alimentacao
POSTO IPIRANGA PAG,Combustivel
PLAYARTE SA,Lazer
IFOOD COM BR LTDA,Alimentacao
NETSHOES SA 65,Varejo
DISNEY PLUS COM,Entretenimento
SPOTIFY,Entretenimento
BURGER KING RECEB,Alimentacao
NETFLIX LTDA,Entretenimento
PLAYARTE PAG 133,Lazer
PAGBANCO PAG,Fintech
APPLE BRASIL RECEB,Varejo
LOGGI 918,Transporte
APPLE BRASIL SA,Varejo
MCDONALDS,Fintech
DROGARIA RAIA LTDA,Saude
HOTEL TIVOLI,Viagem
BURGER KING LTDA,Alimentacao
DROGASIL 443,Saude
DISNEY PLUS *TRIP,Entretenimento
MAGAZINE LUIZA LTDA,Varejo
AIRBNB COM,Viagem
DROGASIL RECEB,Saude
PLAYARTE LTDA 26,Lazer
SPOTIFY RECEB,Entretenimento
HOTEL TRANSMERICA PAG,Varejo
CINESYSTEM RECEB,Lazer
CABIFY COM,Transporte
PLAYARTE SA,Lazer
FARMACIA SAO PAULO PAG,Saude
AMAZON PRIME LTDA,Entretenimento
AIRBNB SA,Viagem
MAGAZINE LUIZA LTDA 323,Varejo
CARREFOUR *TRIP 168,Supermercado
DROGARIA RAIA *TRIP,Saude
HOTEL TRANSMERICA COM,Viagem
NETFLIX LTDA,Entretenimento
PADARIA DO SEU ZE LTDA,Alimentacao
SAMSUNG BRASIL PAG,Varejo
AMAZON PRIME PAG,Entretenimento
AWS BRASIL RECEB,Servicos
NETFLIX *TRIP,Entretenimento
DROGARIA RAIA,Saude
MAGAZINE LUIZA,Varejo
CARREFOUR PAG,Supermercado
PLAYARTE SA,Lazer
DROGARIA RAIA 63,Saude
